signal_code,market_date,direction,triggered,resolved,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,source_revision,source_hash,feature__Price_SMA20,feature__Price_SMA50,feature__BuyCall_GEXDeltaPerc_Rank60
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-09,SHORT,True,True,2026-02-10T07:30:00-05:00,164.5,2026-02-17T16:00:00-05:00,155.43,D5_CLOSE,5.513677811550144,f64c07b6e3dcbce0736b42c8410169387ba463cb2e478fc93d19394ce5acb97b,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,167.9515,159.296734,0.4067796610169492
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-10,SHORT,True,True,2026-02-11T07:30:00-05:00,163.55,2026-02-18T16:00:00-05:00,155.77,D5_CLOSE,4.756955059614798,44d909421b05331da02900df99db705aff24cc8091cabf3f40f9e4e61917e73f,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,167.9615,159.435306,0.576271186440678
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-11,SHORT,True,True,2026-02-12T07:30:00-05:00,163.1,2026-02-19T16:00:00-05:00,154.31,D5_CLOSE,5.389331698344568,2f0377017a861b5d335f1aa2d1e6a93581f3b3ea7054b11d855b4e96974383c3,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,167.827,159.546122,0.288135593220339
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-18,SHORT,True,True,2026-02-19T07:30:00-05:00,155.7,2026-02-25T16:00:00-05:00,152.3,D5_CLOSE,2.1836865767501434,d617ed797a087b0a5011f781f9f209caf5aaeb5876f4f1b1a516c0bb9d636f32,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,165.679,159.58102,0.4745762711864407
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-19,SHORT,True,True,2026-02-20T07:30:00-05:00,151.15,2026-02-26T16:00:00-05:00,148.02,D5_CLOSE,2.0707906053589076,48c9971ddf4af9b767d9a0fd7e137e4b36ff9dd1c1784ff6cc3f3601a00500d8,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,164.959,159.513061,0.2711864406779661
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-20,SHORT,True,True,2026-02-23T07:30:00-05:00,155.32,2026-02-27T16:00:00-05:00,144.08,D5_CLOSE,7.236672675766142,6c3a38f7866f46242694285cf37cf3c87daec65d9142a2acca8fc1d7492eff3d,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,163.8225,159.454897,0.6101694915254238
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-23,SHORT,True,True,2026-02-24T07:30:00-05:00,151.65,2026-03-02T16:00:00-05:00,142.55,D5_CLOSE,6.000659413122323,28d34a75436b9942a869ba90c3ad53781ae64c59b46f04fd855187ce743c17c4,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,162.8,159.220612,0.7966101694915254
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-25,SHORT,True,True,2026-02-26T07:30:00-05:00,147.84,2026-03-04T16:00:00-05:00,133.19,D5_CLOSE,9.909361471861477,1cbdc9cfd40d5af71a1ab3516f6d46aaadaca4e7c198d08dae12b0d18c25bc0d,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,160.865,158.938571,0.7288135593220338
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-02-26,SHORT,True,True,2026-02-27T07:30:00-05:00,145.96,2026-03-05T16:00:00-05:00,130.35,D5_CLOSE,10.69471087969307,8676dd11dc7383715ec3f150f8fdb57def3d0dd969c214aca414d7df1ab5281d,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,159.4845,158.7208,0.7457627118644068
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-05-07,SHORT,True,True,2026-05-08T07:30:00-04:00,142.01,2026-05-14T16:00:00-04:00,141.13,D5_CLOSE,0.6196746707978318,c6b706a0a7adf5450f6dd81f5cfb3037b8b79ff9898875291deb3f78f92f0e12,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,133.170526,132.557551,0.423728813559322
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-05-11,SHORT,True,True,2026-05-12T07:30:00-04:00,136.88,2026-05-18T16:00:00-04:00,133.28,D5_CLOSE,2.630040911747511,6bb846d986580cec4779293f2bcade0d937bc6b3d84624035a49f29408175e78,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,133.801052,132.234897,0.3389830508474576
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-05-13,SHORT,True,True,2026-05-14T07:30:00-04:00,141.56,2026-05-20T16:00:00-04:00,134.44,D5_CLOSE,5.029669398135073,15090fb77b7ed500d98d284cec5a0ea2d92c63a74ed500900667be624841abfe,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,135.147368,131.83204,0.1694915254237288
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-05-14,SHORT,True,True,2026-05-15T07:30:00-04:00,136.14,2026-05-21T16:00:00-04:00,131.44,D5_CLOSE,3.452328485382683,68024fc901eea7817094260153ea8546ba0a547747cc42bbaf1ab9300630821a,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,135.837368,131.77102,0.22033898305084745
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-05-15,SHORT,True,True,2026-05-18T07:30:00-04:00,133.76,2026-05-22T16:00:00-04:00,130.0,D5_CLOSE,2.8110047846889863,69d67fd5f171ba7eb36fd33afbd09252e2f6755a01173743876bf1797985fbfe,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,135.902631,131.567551,0.7288135593220338
BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,2026-05-18,SHORT,True,True,2026-05-19T07:30:00-04:00,135.43,2026-05-26T16:00:00-04:00,129.51,D5_CLOSE,4.371261906519985,3f9c025241ebbc06b265b446968014a6b451b1353d1dcad2fb52147c12633cdb,5093e7cce91082a8c5dc23fb3e0801953669b9860437ad33042e9b435ea8d66e,135.901578,131.52,0.7966101694915254
