Token	ObservationDate	HoldValue	TradeValue	ASXCode	AvgHoldValue	MAAvgHoldKey	MAAvgHoldValue
OIL & GAS	12/04/2016	93064.67	25738207.4	12	7755.389166	SM0	93064.67
POTASH PHOSPHATE	12/04/2016	103168.989	25585307.5	7	14738.427	SM0	103168.989
RENEWABLE ENERGY	12/04/2016	123076.8	1643112	1	123076.8	SM0	123076.8
SILVER	12/04/2016	106109.063	591000.4	8	13263.63288	SM0	106109.063
STEM CELLS THERAPEUTICS	12/04/2016	100410.88	798368	1	100410.88	SM0	100410.88
TIN	12/04/2016	111476.581	902899	7	15925.22586	SM0	111476.581
URANIUM	12/04/2016	107397.6048	2677879.32	19	5652.505515	SM0	107397.6048
VANADIUM	12/04/2016	98547.473	161193.9	3	32849.15767	SM0	98547.473
ZINC	12/04/2016	97551.815	311942.6	17	5738.342058	SM0	97551.815
BAUXITE	13/04/2016	112557.272	112902.2	4	28139.318	SM0	112557.272
BIO TECHNOLOGY	13/04/2016	103370.6403	1227045.81	24	4307.110012	SM0	103370.6403
BIOTECH	13/04/2016	93000	46732.5	1	93000	SM0	93000
COBALT	13/04/2016	113890.642	502714.8	12	9490.886833	SM0	113890.642
COKING COAL	13/04/2016	102869.215	12497.8	5	20573.843	SM0	102869.215
COPPER	13/04/2016	103252.247	2416684.9	23	4489.22813	SM0	103252.247
DIGITAL HEALTHCARE	13/04/2016	99233.456	371964	2	49616.728	SM0	99233.456
FINANCIAL TECHNOLOGY	13/04/2016	101254.389	2274854.2	12	8437.86575	SM0	101254.389
GOLD	13/04/2016	115181.2447	2171605.32	24	4799.218529	SM0	115181.2447
GRAPHENE	13/04/2016	99999.753	28878.9	2	49999.8765	SM0	99999.753
GRAPHITE	13/04/2016	110578.1065	5516767.67	23	4807.74376	SM0	110578.1065
JUNIOR GOLD	13/04/2016	109843.0656	3386582.08	24	4576.7944	SM0	109843.0656
LARGE GOLD	13/04/2016	115286.8145	129490616.8	14	8234.772464	SM0	115286.8145
LITHIUM	13/04/2016	117908.0226	5562259.16	23	5126.435765	SM0	117908.0226
MEDICAL CANNABIS	13/04/2016	103318.757	799680.3	6	17219.79283	SM0	103318.757
MEMORY TECHNOLOGY	13/04/2016	140000	50240.4	1	140000	SM0	140000
MINING SERVICES	13/04/2016	91157.4076	9674.84	1	91157.4076	SM0	91157.4076
NICKEL	13/04/2016	103180.875	855487.4	12	8598.40625	SM0	103180.875
OIL & GAS	13/04/2016	95915.77	91622815.1	12	7992.980833	SM0	95915.77
POTASH PHOSPHATE	13/04/2016	100445.029	20152041.5	7	14349.28986	SM0	100445.029
RENEWABLE ENERGY	13/04/2016	121367.4	2209733	1	121367.4	SM0	121367.4
SILVER	13/04/2016	105459.966	1553253.6	8	13182.49575	SM0	105459.966
STEM CELLS THERAPEUTICS	13/04/2016	107406.72	2927376	1	107406.72	SM0	107406.72
TIN	13/04/2016	108755.493	266002	7	15536.499	SM0	108755.493
URANIUM	13/04/2016	108861.8548	4807264.68	19	5729.571305	SM0	108861.8548
VANADIUM	13/04/2016	98967.641	192759	3	32989.21367	SM0	98967.641
ZINC	13/04/2016	97949.6194	334180.74	17	5761.742317	SM0	97949.6194
BAUXITE	14/04/2016	111888.081	72439.7	4	27972.02025	SM0	111888.081
BIO TECHNOLOGY	14/04/2016	101966.6512	599042.68	24	4248.610466	SM0	101966.6512
