signal_code,market_date,direction,triggered,status,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,benchmark,benchmark_directional_return_pct,directional_excess_vs_benchmark_pct,source_revision,source_hash,base_signal_code,feature_tier,production_action,feature_confirmation,MSFT_GEXChange,MSFT_GEX_ZScore,QQQ_GEX_Trending_Up,QQQ_GEX_ZScore_60day,QQQ_Is_Potential_Swing_Up,QQQ_Price_Above_SMA20,QQQ_TodayChange
MSFT_BULL_SHARE_COLLAPSE,2026-01-12,SHORT,True,FINAL,2026-01-13T07:30:00-05:00,475.55,2026-01-14T16:00:00-05:00,459.38,D2_REGULAR_SESSION_CLOSE,3.40027337,3.85868994,-0.35748081,QQQ,1.08390269,2.31637068,272304ee13a7bc22714317560fd35b36e40d309d3c3dcc372cef1186d61ef756,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,-55.19,-1.0519953453073856,1,1.1213037893819764,0,1,0.08
MSFT_BULL_SHARE_COLLAPSE,2026-01-16,SHORT,True,FINAL,2026-01-20T07:30:00-05:00,453.08,2026-01-21T16:00:00-05:00,444.12,D2_REGULAR_SESSION_CLOSE,1.9775757,3.17824667,-0.82104706,QQQ,-0.94039778,2.91797349,1036df6ccf525de4c8e3c3ae1e8dd4b3744ef0b7425f9fdb8740b071873e96ad,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,-125.07,-0.7436928045414612,1,-0.4391214113634849,0,1,-0.08
MSFT_BULL_SHARE_COLLAPSE,2026-02-10,SHORT,True,FINAL,2026-02-11T07:30:00-05:00,414.2,2026-02-12T16:00:00-05:00,401.88,D2_REGULAR_SESSION_CLOSE,2.9744085,3.90632545,-0.89811685,QQQ,1.94458504,1.02982346,03ce3343c3b3c015fc933eafa215c87f56cc29eb21e7950c16bd802b56dd15ba,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,-13.58,0.9181191516505928,0,-1.4538050745020576,0,0,-0.46
MSFT_BULL_SHARE_COLLAPSE,2026-02-25,SHORT,True,FINAL,2026-02-26T07:30:00-05:00,400.38,2026-02-27T16:00:00-05:00,392.73,D2_REGULAR_SESSION_CLOSE,1.91068485,2.60752285,-1.77581298,QQQ,1.49519979,0.41548506,f4741cc96e4f0e3a335619ddc87c2c0b5c77941f68666107cd7f2ca7fbde7bef,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,64.6,2.0597916437753563,1,0.5705909313655058,0,1,1.45
MSFT_BULL_SHARE_COLLAPSE,2026-03-17,SHORT,True,FINAL,2026-03-18T07:30:00-04:00,399.8,2026-03-19T16:00:00-04:00,388.88,D2_REGULAR_SESSION_CLOSE,2.73136568,3.17908954,-0.12756378,QQQ,2.10001486,0.63135082,c3e32f8d70624b6fed2ade2a0922c1f9343d21ac191e13a8e0c0f5a32a6f0b47,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,29.17,-0.6275186814255816,0,-0.291114133700235,0,0,0.49
MSFT_BULL_SHARE_COLLAPSE,2026-03-20,SHORT,True,FINAL,2026-03-23T07:30:00-04:00,386.0,2026-03-24T16:00:00-04:00,372.75,D2_REGULAR_SESSION_CLOSE,3.43264249,3.66580311,-0.7746114,QQQ,1.19801008,2.2346324,94b3232e5bdfee5f94b0eee92e100682ea2505898a50a3aa5fdee827cc2fe2af,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,-38.92,-1.0540565894754168,0,-0.7566596123970631,1,0,-1.85
MSFT_BULL_SHARE_COLLAPSE,2026-04-08,SHORT,True,FINAL,2026-04-09T07:30:00-04:00,374.11,2026-04-10T16:00:00-04:00,370.87,D2_REGULAR_SESSION_CLOSE,0.86605544,1.88714549,-0.40897062,QQQ,-1.21419934,2.08025478,e4e47948172deb62173caf44eb660105593bfc3d0714c2ff3a63ee4200323a67,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,3.28,1.4056554206151266,1,1.34848243623661,0,1,2.97
MSFT_BULL_SHARE_COLLAPSE,2026-04-14,SHORT,True,FINAL,2026-04-15T07:30:00-04:00,396.24,2026-04-16T16:00:00-04:00,420.01,D2_REGULAR_SESSION_CLOSE,-5.99888956,0.11356753,-6.20331112,QQQ,-1.959879,-4.03901056,49dc10ab81b8d7d7f7f836275c5489db7f7f23a5b96d661e2fbcdd64aa43943a,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,31.39,2.4940520302070737,1,2.3792130038762527,0,1,1.82
MSFT_BULL_SHARE_COLLAPSE,2026-04-28,SHORT,True,FINAL,2026-04-29T07:30:00-04:00,426.45,2026-04-30T16:00:00-04:00,407.77,D2_REGULAR_SESSION_CLOSE,4.3803494,6.66901161,-4.37565951,QQQ,-1.17144286,5.55179226,5ac27e83ca623aea82dd4c701cb78a42c04bf3f536898aedcee95ec0cd7c2588,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,-0.25,-0.3675249853722594,1,1.2539497298210995,0,1,-1.01
MSFT_BULL_SHARE_COLLAPSE,2026-05-01,SHORT,True,FINAL,2026-05-04T07:30:00-04:00,412.49,2026-05-05T16:00:00-04:00,411.27,D2_REGULAR_SESSION_CLOSE,0.29576475,0.89456714,-2.00974569,QQQ,-1.1472247,1.44298944,58a486862cd1883edc3a95f256d49d9b6dcad8752d393b75675473b5c57d2164,c339d5494bbec6ae0e970cb926c29b8a0a9a1b825140c9071f9096d16878849c,MSFT_BULL_SHARE_COLLAPSE,BASE,PLAN_ENTRY,NOT_APPLICABLE,8.05,-0.9640989241313684,0,1.0357299665737894,0,1,0.96
