signal_code,market_date,direction,triggered,resolved,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,source_revision,source_hash,feature__PutBuyShareChgAbsRank60,feature__BuyCall_GEXDeltaPerc_Rank60
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-03-20,SHORT,True,True,2026-03-23T07:30:00-04:00,151.6,2026-03-25T16:00:00-04:00,145.96,D3_CLOSE,3.7203166226912887,fc87051efd836b029d03077f108ab15a8a3813a641b7fd952abcd7f755ddc309,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.8448275862068966,0.2033898305084746
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-03-24,SHORT,True,True,2026-03-25T07:30:00-04:00,149.25,2026-03-27T16:00:00-04:00,139.65,D3_CLOSE,6.432160804020093,ee17175baf378257fd0bb6ae15ec3331ff1d52342ed8a86c518dc2f8970ad6b3,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.896551724137931,0.11666666666666667
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-03-25,SHORT,True,True,2026-03-26T07:30:00-04:00,144.0,2026-03-30T16:00:00-04:00,138.79,D3_CLOSE,3.618055555555566,a19c3f7ca23e43d0b90380f325a3a611418eef46748c30f9504de912b6ddd06f,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.7241379310344828,0.4666666666666667
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-06-12,SHORT,True,True,2026-06-15T07:30:00-04:00,189.4,2026-06-17T16:00:00-04:00,183.51,D3_CLOSE,3.1098204857444633,672f155e8ccc4299bc6622a45e5fc6b5bddbc5580b59e46b199be77a2fbcb019,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9464285714285714,0.4745762711864407
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-06-16,SHORT,True,True,2026-06-17T07:30:00-04:00,186.25,2026-06-22T16:00:00-04:00,175.34,D3_CLOSE,5.857718120805366,1953a0c2f6ed6662c107bc938248e9fb175e8d433f2962b515e53cadd9b35f6b,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.75,0.05084745762711865
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-06-17,SHORT,True,True,2026-06-18T07:30:00-04:00,182.94,2026-06-23T16:00:00-04:00,165.24,D3_CLOSE,9.675303378156762,c2e8121fcb4fc5d1d029265d31e5fd4051783bb0545650e6824f165619b62ef9,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9464285714285714,0.01694915254237288
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-06-24,SHORT,True,True,2026-06-25T07:30:00-04:00,158.83,2026-06-29T16:00:00-04:00,147.8,D3_CLOSE,6.94453188944154,25d0e98bd36adfab88cadd681425b5efdd8aa3919d450fb019835991949590e9,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9259259259259259,0.423728813559322
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-07-09,SHORT,True,True,2026-07-10T07:30:00-04:00,145.6,2026-07-14T16:00:00-04:00,127.98,D3_CLOSE,12.101648351648342,63615cc13a9344553f1d80ee549a406f2fe427f9d4caa307d59ba4bbdde1314c,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9074074074074074,0.3220338983050847
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-07-14,SHORT,True,True,2026-07-15T07:30:00-04:00,129.2,2026-07-17T16:00:00-04:00,126.38,D3_CLOSE,2.1826625386996867,720638803624d87f6fd015da7d9780aadebfe934cf6a9ad3051b72aa7559ec7d,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.7777777777777778,0.23728813559322035
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-07-22,SHORT,True,True,2026-07-23T07:30:00-04:00,126.07,2026-07-27T16:00:00-04:00,119.96,D3_CLOSE,4.84651384151662,c013e34a7b905850a6bdd5cf5f47df920bb27cc31e62b6bab5ec98eed65331a8,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9074074074074074,0.3728813559322034
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-07-23,SHORT,True,True,2026-07-24T07:30:00-04:00,122.65,2026-07-28T16:00:00-04:00,119.99,D3_CLOSE,2.1687729311047788,bbf2f8e2ebe09accaf677a0f23537848c0480b89160813a5d690a4984aa1909f,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,1.0,0.2033898305084746
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-07-24,SHORT,True,True,2026-07-27T07:30:00-04:00,117.4,2026-07-29T16:00:00-04:00,117.79,D3_CLOSE,-0.3321976149914807,3835c727bb4cfdf92e2fdfd8b7c2cb618165acaca8ce16b9b864eb57d860c2e9,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.9814814814814815,0.2033898305084746
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-08-18,SHORT,True,True,2026-08-19T07:30:00-04:00,139.66,2026-08-21T16:00:00-04:00,146.5,D3_CLOSE,-4.897608477731641,8678a74b63acc77ad86e97e618e30e7f078347743272555930ed53d40bab3442,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.7321428571428571,0.06666666666666667
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-08-20,SHORT,True,True,2026-08-21T07:30:00-04:00,143.68,2026-08-25T16:00:00-04:00,144.76,D3_CLOSE,-0.7516703786191403,4b10f4998c5508ba1a36b6e38ab19e50eb86ea6b42e0ca8b6a057ba6b0dbea88,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.8035714285714286,0.31666666666666665
ORCL_PUT_FLOW_ROTATION_BREAKDOWN,2026-08-21,SHORT,True,True,2026-08-24T07:30:00-04:00,145.56,2026-08-26T16:00:00-04:00,148.87,D3_CLOSE,-2.273976367133823,1f8cfe590a66b5f464c3c99e1d971f144d704d61f4d37c35ace584a1140c79f8,9d356b6e02703d8052487c1ad4b7fc679e77bbf5b69fa552463af9a331fe3161,0.6607142857142857,0.3333333333333333
