ASXCode	TimeFrame	TimeIntervalStart	Open	High	Low	Close	Volume	FirstSale	LastSale	SaleValue	NumOfSale	AverageValuePerTransaction	VWAP	ObservationDate
NQMAIN.US	30M	2024-07-09 16:30:00	20685.5000	20689.7500	20684.2500	20687.7500	2209	NULL	NULL	NULL	1165	NULL	20686.825000	2024-07-09
NQMAIN.US	30M	2024-07-09 18:00:00	20686.0000	20693.7500	20684.5000	20690.0000	1211	NULL	NULL	NULL	852	NULL	20689.225000	2024-07-09
NQMAIN.US	30M	2024-07-09 18:30:00	20690.2500	20700.2500	20690.2500	20695.5000	2108	NULL	NULL	NULL	1105	NULL	20696.200000	2024-07-09
NQMAIN.US	30M	2024-07-09 19:00:00	20695.7500	20703.5000	20695.7500	20698.2500	853	NULL	NULL	NULL	594	NULL	20700.125000	2024-07-09
NQMAIN.US	30M	2024-07-09 19:30:00	20698.5000	20701.2500	20694.5000	20697.7500	536	NULL	NULL	NULL	371	NULL	20697.525000	2024-07-09
NQMAIN.US	30M	2024-07-09 20:00:00	20697.5000	20707.5000	20697.2500	20701.7500	1208	NULL	NULL	NULL	862	NULL	20702.650000	2024-07-09
NQMAIN.US	30M	2024-07-09 20:30:00	20702.0000	20710.7500	20701.7500	20709.2500	1900	NULL	NULL	NULL	1096	NULL	20706.650000	2024-07-09
NQMAIN.US	30M	2024-07-09 21:00:00	20709.5000	20711.2500	20702.0000	20705.5000	1012	NULL	NULL	NULL	699	NULL	20707.700000	2024-07-09
NQMAIN.US	30M	2024-07-09 21:30:00	20705.2500	20710.0000	20701.5000	20702.0000	1780	NULL	NULL	NULL	1033	NULL	20705.450000	2024-07-09
NQMAIN.US	30M	2024-07-09 22:00:00	20702.0000	20710.5000	20701.5000	20708.0000	1546	NULL	NULL	NULL	950	NULL	20706.600000	2024-07-09
NQMAIN.US	30M	2024-07-09 22:30:00	20707.5000	20713.0000	20706.0000	20710.2500	797	NULL	NULL	NULL	594	NULL	20709.900000	2024-07-09
NQMAIN.US	30M	2024-07-09 23:00:00	20711.0000	20715.5000	20710.7500	20714.0000	680	NULL	NULL	NULL	511	NULL	20712.900000	2024-07-09
NQMAIN.US	30M	2024-07-09 23:30:00	20714.0000	20714.5000	20708.7500	20709.7500	479	NULL	NULL	NULL	358	NULL	20711.125000	2024-07-09
NQMAIN.US	30M	2024-07-08 00:00:00	20597.2500	20597.5000	20592.0000	20594.2500	516	NULL	NULL	NULL	373	NULL	20595.075000	2024-07-08
NQMAIN.US	30M	2024-07-08 00:30:00	20594.7500	20594.7500	20588.0000	20588.7500	791	NULL	NULL	NULL	556	NULL	20590.875000	2024-07-08
NQMAIN.US	30M	2024-07-08 01:00:00	20588.0000	20591.0000	20583.2500	20586.5000	876	NULL	NULL	NULL	662	NULL	20587.425000	2024-07-08
NQMAIN.US	30M	2024-07-08 01:30:00	20586.0000	20595.5000	20583.7500	20584.5000	1130	NULL	NULL	NULL	893	NULL	20589.825000	2024-07-08
NQMAIN.US	30M	2024-07-08 02:00:00	20584.5000	20601.0000	20583.0000	20597.2500	2306	NULL	NULL	NULL	1602	NULL	20591.550000	2024-07-08
NQMAIN.US	30M	2024-07-08 02:30:00	20597.0000	20599.0000	20591.7500	20598.7500	1304	NULL	NULL	NULL	939	NULL	20596.275000	2024-07-08
NQMAIN.US	30M	2024-07-08 03:00:00	20598.5000	20606.0000	20589.2500	20602.0000	4375	NULL	NULL	NULL	2949	NULL	20598.700000	2024-07-08
NQMAIN.US	30M	2024-07-08 03:30:00	20602.5000	20608.0000	20594.2500	20606.7500	2442	NULL	NULL	NULL	1698	NULL	20601.350000	2024-07-08
NQMAIN.US	30M	2024-07-08 04:00:00	20607.0000	20611.0000	20598.7500	20608.2500	3353	NULL	NULL	NULL	2495	NULL	20606.175000	2024-07-08
NQMAIN.US	30M	2024-07-08 04:30:00	20608.2500	20615.7500	20601.7500	20602.2500	2444	NULL	NULL	NULL	1672	NULL	20608.175000	2024-07-08
NQMAIN.US	30M	2024-07-08 05:00:00	20602.0000	20617.0000	20601.0000	20614.7500	2070	NULL	NULL	NULL	1523	NULL	20608.500000	2024-07-08
NQMAIN.US	30M	2024-07-08 05:30:00	20615.5000	20620.7500	20608.2500	20612.2500	2253	NULL	NULL	NULL	1522	NULL	20614.000000	2024-07-08
NQMAIN.US	30M	2024-07-08 06:00:00	20611.7500	20618.2500	20609.2500	20613.7500	1782	NULL	NULL	NULL	1203	NULL	20614.500000	2024-07-08
NQMAIN.US	30M	2024-07-08 06:30:00	20613.5000	20617.2500	20608.0000	20610.0000	2151	NULL	NULL	NULL	1429	NULL	20613.350000	2024-07-08
NQMAIN.US	30M	2024-07-08 07:00:00	20610.0000	20624.5000	20605.0000	20621.0000	3577	NULL	NULL	NULL	2377	NULL	20617.000000	2024-07-08
NQMAIN.US	30M	2024-07-08 07:30:00	20621.0000	20631.2500	20621.0000	20628.5000	3279	NULL	NULL	NULL	2189	NULL	20626.225000	2024-07-08
NQMAIN.US	30M	2024-07-08 08:00:00	20628.2500	20637.5000	20624.2500	20633.7500	4622	NULL	NULL	NULL	2935	NULL	20632.475000	2024-07-08
NQMAIN.US	30M	2024-07-08 08:30:00	20634.0000	20637.2500	20626.2500	20628.7500	5472	NULL	NULL	NULL	3558	NULL	20631.850000	2024-07-08
NQMAIN.US	30M	2024-07-08 09:00:00	20629.0000	20641.7500	20625.5000	20632.5000	9550	NULL	NULL	NULL	5858	NULL	20635.000000	2024-07-08
NQMAIN.US	30M	2024-07-08 09:30:00	20632.5000	20653.5000	20600.5000	20634.5000	75507	NULL	NULL	NULL	53237	NULL	20624.725000	2024-07-08
NQMAIN.US	30M	2024-07-08 10:00:00	20635.0000	20642.2500	20596.7500	20624.0000	48655	NULL	NULL	NULL	33028	NULL	20622.175000	2024-07-08
NQMAIN.US	30M	2024-07-08 10:30:00	20624.0000	20633.2500	20588.0000	20609.0000	36501	NULL	NULL	NULL	23611	NULL	20606.700000	2024-07-08
NQMAIN.US	30M	2024-07-08 11:00:00	20609.0000	20666.7500	20603.7500	20662.0000	36393	NULL	NULL	NULL	22960	NULL	20638.000000	2024-07-08
NQMAIN.US	30M	2024-07-08 11:30:00	20661.7500	20670.7500	20635.2500	20667.2500	29124	NULL	NULL	NULL	18722	NULL	20658.175000	2024-07-08
NQMAIN.US	30M	2024-07-08 12:00:00	20668.0000	20669.7500	20609.0000	20622.7500	27948	NULL	NULL	NULL	18342	NULL	20632.575000	2024-07-08
NQMAIN.US	30M	2024-07-08 12:30:00	20622.5000	20639.5000	20610.2500	20634.2500	18000	NULL	NULL	NULL	11784	NULL	20624.475000	2024-07-08
NQMAIN.US	30M	2024-07-08 13:00:00	20634.7500	20650.2500	20625.7500	20648.7500	14738	NULL	NULL	NULL	9819	NULL	20636.925000	2024-07-08
NQMAIN.US	30M	2024-07-08 13:30:00	20649.0000	20668.2500	20642.5000	20653.7500	17880	NULL	NULL	NULL	11214	NULL	20655.225000	2024-07-08
NQMAIN.US	30M	2024-07-08 14:00:00	20653.5000	20656.2500	20631.2500	20651.2500	16005	NULL	NULL	NULL	10444	NULL	20643.400000	2024-07-08
NQMAIN.US	30M	2024-07-08 14:30:00	20651.2500	20651.5000	20609.0000	20646.0000	25565	NULL	NULL	NULL	16130	NULL	20630.650000	2024-07-08
NQMAIN.US	30M	2024-07-08 15:00:00	20646.0000	20646.5000	20618.2500	20624.0000	15546	NULL	NULL	NULL	10150	NULL	20633.475000	2024-07-08
NQMAIN.US	30M	2024-07-08 15:30:00	20624.2500	20688.0000	20617.7500	20666.5000	41350	NULL	NULL	NULL	24599	NULL	20651.700000	2024-07-08
NQMAIN.US	30M	2024-07-08 16:00:00	20666.5000	20687.2500	20656.0000	20678.0000	12599	NULL	NULL	NULL	7166	NULL	20673.975000	2024-07-08
NQMAIN.US	30M	2024-07-08 16:30:00	20678.2500	20685.2500	20674.0000	20684.5000	1942	NULL	NULL	NULL	1072	NULL	20678.675000	2024-07-08
NQMAIN.US	30M	2024-07-08 18:00:00	20681.0000	20699.0000	20672.5000	20697.5000	2990	NULL	NULL	NULL	1666	NULL	20687.650000	2024-07-08
NQMAIN.US	30M	2024-07-08 18:30:00	20697.7500	20698.5000	20686.0000	20689.0000	2325	NULL	NULL	NULL	1119	NULL	20691.225000	2024-07-08
